full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
leeovery/wordpress-to-laravel	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-10-02	2023-09-23	False	114	PHP		Provides means to sync Wordpress posts to your Laravel DB in order to use Laravel as the front-end to your WP blog (cos lets face it - WP templates suck ass)
StackExchange/blackbox	後端 / API / 框架	1. 已封存	UNSTAR	2017-10-02	2025-11-05	True	6768	Go		Safely store secrets in Git/Mercurial/Subversion
apple/darwin-xnu	開發工具 / CLI	1. 已封存	UNSTAR	2017-10-01	2023-01-13	True	11264	C	kernel	Legacy mirror of Darwin Kernel. Replaced by https://github.com/apple-oss-distributions/xnu
lllyasviel/style2paints	其他 / 未分類	3. 長期停更 (>3年)	UNSTAR	2017-10-01	2023-08-01	False	18175	JavaScript		sketch + style = paints :art: (TOG2018/SIGGRAPH2018ASIA)
aivarsk/scrapy-proxies	自架服務 / DevOps	3. 長期停更 (>3年)	UNSTAR	2017-09-26	2019-10-01	False	1667	Python		Random proxy middleware for Scrapy 
lanbing510/DouBanSpider	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-09-26	2020-04-08	False	2785	Python		豆瓣读书的爬虫
Stufinite/CampassCrawler	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-09-26	2019-11-03	False	5	HTML		臺灣所有的大學爬蟲
jhao104/spider	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-09-26	2017-03-24	False	70	Python	crawler|python|spider	python crawler spider
fullstackyang/weibo-crawler	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-09-24	2017-10-15	False	38	Java	spider|weibo	新型的免登录微博爬虫，自动获取Cookie直接进行抓取和解析微博数据，免去了账号登录的过程，彻底摆脱账号被封的困扰
ariya/phantomjs	其他 / 未分類	1. 已封存	REVIEW	2017-09-24	2022-11-26	True	29438	C++	automation|headless|headless-browser|phantomjs	Scriptable Headless Browser
fate0/getproxy	自架服務 / DevOps	1. 已封存	UNSTAR	2017-09-22	2022-08-02	True	829	Python	getproxy|proxy|proxy-checker|web-proxy	getproxy 是一个抓取发放代理网站，获取 http/https 代理的程序
stamparm/fetch-some-proxies	自架服務 / DevOps	1. 已封存	UNSTAR	2017-09-22	2023-03-15	True	579	Python	anonymity|proxy|python	"Simple Python script for fetching ""some"" (usable) proxies"
MaxCDN/osscdn	其他 / 未分類	3. 長期停更 (>3年)	UNSTAR	2017-09-22	2015-10-19	False	103	JavaScript		Free CDN by MaxCDN
diracdeltas/FastestWebsiteEver	媒體 / 影音處理	4. 停更 (2-3年)	UNSTAR	2017-09-21	2024-08-13	False	1408	C		ultrafast single TCP packet audio/visual experience
Enclavely/tailor	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-09-15	2020-07-22	False	1034	PHP		Build beautiful page layouts quickly and easily using your favourite WordPress theme.
binux/pyspider	資料處理 / 爬蟲	1. 已封存	UNSTAR	2017-09-14	2024-04-30	True	16768	Python	crawler|python	A Powerful Spider(Web Crawler) System in Python.
bunnieabc/Blender	桌面 / 行動 App	3. 長期停更 (>3年)	UNSTAR	2017-09-14	2020-06-19	False	386	JavaScript		A Blend tool for Sketch App. 
ustbhuangyi/better-scroll	前端 / UI	4. 停更 (2-3年)	REVIEW	2017-09-13	2024-06-14	False	16459	TypeScript	better-performance|ios|iscroll|mobile-web|more-features|vue	:scroll: inspired by iscroll, and it supports more features and has a better scroll perfermance
salomonelli/best-resume-ever	前端 / UI	4. 停更 (2-3年)	REVIEW	2017-09-13	2024-06-11	False	16473	Vue	cv|javascript|nodejs|pdf|resume|vue	:necktie: :briefcase: Build fast :rocket: and easy multiple beautiful resumes and create your best CV ever! Made with Vue and LESS.
syamilmj/Aqua-Resizer	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-09-13	2020-10-16	False	501	PHP		Resize WordPress images on the fly
Tuhinshubhra/RED_HAWK	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-09-13	2024-07-31	False	3747	PHP	admin-scanner|backups-finder|cloudflare-detection|cms-detector|crawler|domain-authority-scanner|geo-ip|http-header|information-gathering|mx-lookup|page-authority-scanner|reverse-ip-scan|scanner|sql-scanner|sql-vulnerability-scannig|subdomain-scanner|subnet-lookup|whois-lookup|wordpress|wordpress-scanner	All in one tool for Information Gathering, Vulnerability Scanning and Crawling. A must have tool for all penetration testers
taniarascia/wp-functions	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-09-13	2024-02-25	False	1237		functions|php|settings|wordpress|wordpress-development|wordpress-functions	A compilation of function snippets for WordPress developers who create their own themes.
wordpress-clients/hybrid	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-09-13	2018-11-24	False	1010	TypeScript	angular|ionic2|wordpress|wordpress-api	[I don't have time to work on this anymore. Use at your own risk] Build WordPress based PWA, iOS, Android & Windows phones apps in minutes!
WebDevStudios/Custom-Metaboxes-and-Fields-for-WordPress	後端 / API / 框架	1. 已封存	UNSTAR	2017-09-13	2018-12-17	True	1736	PHP		Lets you easily create metaboxes with custom fields that will blow your mind.   
phacility/phabricator	後端 / API / 框架	4. 停更 (2-3年)	REVIEW	2017-09-12	2024-04-12	False	12299	PHP	git|hg|phabricator|php|svn	Effective June 1, 2021: Phabricator is no longer actively maintained.
BenjaminAdams/wp-redis-cache	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-09-12	2017-09-01	False	151	PHP		Cache Wordpress faster
siversalih/pyChrome-Web-Automation	其他 / 未分類	3. 長期停更 (>3年)	UNSTAR	2017-09-08	2020-09-30	False	38	Python		Web Automation Module based on Selenium Python 
jorgenkg/python-proxy-rotator	自架服務 / DevOps	3. 長期停更 (>3年)	UNSTAR	2017-09-07	2021-07-16	False	82	Python		An automatic proxy rotator - multithreaded & SSL
extiverse/bazaar	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-09-07	2023-01-03	False	59	PHP	extensions|flarum|flarum-extension|marketplace	The extension marketplace for your Flarum forum.
erdiaker/torrequest	開發工具 / CLI	4. 停更 (2-3年)	UNSTAR	2017-09-06	2023-10-05	False	238	Python	python|requests|tor	Simple Python interface for HTTP(s) requests over Tor
openalpr/openalpr	開發工具 / CLI	4. 停更 (2-3年)	REVIEW	2017-09-04	2024-01-11	False	11457	C++		Automatic License Plate Recognition library
